"WIN_Site_ID","Longitude","Latitude","DOC","DON","NOx","NH4"
61410026,115.768538,-32.496953,3,1.03,0.005,0.07
61410086,115.84088,-32.195749,20,1.94,0.01,0.15
61410087,115.842178,-32.172027,19.3,4.4,0.005,1.4
61410090,115.851766,-32.4062,19.8,4.5,0.19,0.01
61410106,115.875984,-32.46829,18.3,0.25,0.3,0.01
61410109,115.868286,-32.19293,6.1,0.25,0.02,0.09
61410113,115.890148,-32.440417,11.1,3.11,0.55,0.04
61410115,115.888893,-32.405721,19.1,0.98,0.12,0.01
61410124,115.889308,-32.180135,5.3,0.62,0.005,0.18
61410130,115.901268,-32.293369,2.9,0.25,0.01,0.04
61410142,115.916409,-32.180152,120,3.57,0.005,1.73
61410152,115.956772,-32.235627,1.3,0.25,0.01,0.01
61410153,115.972843,-32.208039,28,0.25,12.8,0.01
61410154,115.978162,-32.18028,19.9,0.85,0.01,0.04
61410186,115.818439,-32.090818,14.5,2.8,0.005,10.5
NA,115.845558,-32.135571,16,0.58,3.5,0.02
61410219,115.849141,-32.146282,49,2.34,0.22,0.34
61410243,115.872223,-32.115268,0.9,0.25,6.4,0.01
61410250,115.888798,-32.149622,9.4,0.65,0.005,0.45
61410371,115.8412,-32.1452,48,1.4,0.01,0.39
61610029,115.795169,-31.925795,28,1.29,0.005,0.11
61610031,115.794108,-31.891982,5.1,1.1,7.2,0.01
61610039,115.790957,-31.845881,15.8,0.933333,0.005,0.066667
61610100,115.815333,-31.859471,1.2,0.8,2.4,0.01
61610161,115.844467,-31.938774,8.6,2.31,0.005,0.19
61610171,115.859081,-31.907639,19.9,0.25,0.005,0.47
61610180,115.871795,-32.091467,14.2,5.88,0.01,0.31
61610181,115.868908,-32.082438,17.7,1.1,1.9,0.01
61610204,115.875949,-31.891028,16.7,1.32,0.005,0.08
61610245,115.8888,-32.1377,4.1,2.167,0.013,0.02
61610333,115.906413,-32.16363,12.2,2.05,0.03,0.42
61610334,115.906284,-32.153093,11.9,3.04,0.005,0.46
61610335,115.906925,-32.141137,3,3.686,0.014,0.01
61610345,115.915289,-32.116212,15.8,2.833,0.005,0.66
61610354,115.913908,-32.07613,16.1,1.7,2.3,0.01
61610356,115.904988,-32.016495,93,3.67,0.005,0.33
61610441,115.922077,-32.15369,2,0.25,0.01,0.1
61610444,115.926495,-32.124183,68,4.34,0.005,0.06
61610445,115.923599,-32.108985,19.9,0.555,0.005,0.34
61610475,115.919147,-31.871691,6,1.3,0.005,0.3
61610510,115.94094,-31.855528,4.5,1.09,0.005,0.01
61610511,115.951012,-31.855575,4.2,3.9,0.39,0.01
61610517,115.950865,-31.846129,2.5,0.76,0.01,0.03
61610522,115.942775,-31.838213,4.6,0.25,0.01,0.01
61610543,115.958354,-31.90012,5.7,0.25,0.005,0.02
61610546,115.965725,-31.85557,19.9,2.1,0.005,0.01
61610550,115.957309,-31.846362,103,2.59,0.005,0.01
61610576,115.984977,-31.819441,189,5.64,0.005,0.06
NA,115.669123,-31.557947,0.1,1.04,0.16,0.01
61610629,115.784335,-31.725631,7,0.25,0.014,0.01
61610679,115.803422,-31.788138,2.7,1.58,0.03,0.09
61610685,115.810847,-31.727837,50,2.2,0.005,0.78
61610697,115.810286,-31.649216,19.9,0.81,0.01,0.88
61610734,115.823379,-31.733475,5.5,2.22,0.42,0.06
61610736,115.823376,-31.725301,71,1.6,0.14,0.064
61610738,115.823376,-31.725301,34,0.61,0.005,0.37
61610745,115.835541,-31.724872,19.7,1.49,0.01,0.01
61610750,115.828555,-31.658437,19.6,0.25,0.005,0.01
61610762,115.852006,-31.752239,20,0.25,23.6,0.06
61610794,115.853098,-31.686009,23,0.6,0.005,0.01
61610803,115.84583,-31.633615,17.7,0.85,0.005,0.25
61610817,115.85321,-31.746258,8.8,0.25,10.4,0.15
61610820,115.853211,-31.73759,8,0.25,0.011,0.2
61610822,115.85321,-31.737644,8,0.25,0.005,0.04
61610832,115.862889,-31.672224,12.5,1.1,0.005,0.01
61610833,115.855377,-31.654841,39,0.25,0.005,0.01
61610835,115.875065,-31.803622,11.4,0.25,14.8,0.01
61610845,115.881237,-31.751792,19,0.25,0.005,0.13
61610860,115.878524,-31.691696,20,0.25,0.005,1.5
61610864,115.880987,-31.631219,18.6,1.1,0.005,0.01
61610907,115.893605,-31.682905,38,1.3,0.005,0.01
61610908,115.895378,-31.6621,19.9,1.03,0.005,0.17
61610918,115.918007,-31.803607,3.6,1.79,0.005,0.11
61610946,115.905043,-31.676348,19.9,2.06,0.01,0.23
61610967,115.930453,-31.759381,61,3.28,0.01,0.31
61610978,115.922079,-31.727591,18.6,1.67,0.01,0.52
61610980,115.929037,-31.720245,109,3.65,0.005,1.65
61610982,115.93359,-31.713522,6.7,4.3,0.01,0.29
61611010,115.949923,-31.759389,19.3,2.91,0.005,0.09
61611018,115.948339,-31.721873,22,1.82,0.005,0.18
61611042,115.957315,-31.696022,13,2.482,0.005,0.01
61611109,115.814313,-32.150173,67,0.69,0.02,0.99
61611110,115.819604,-32.14932,0.1,0.25,8.9,0.02
61611111,115.821696,-32.144153,30,1.71,0.005,0.29
61611117,115.836841,-32.160485,11.2,1.38,0.01,0.21
61611122,115.840201,-32.141454,34,2.15,0.37,0.18
61611211,115.803851,-31.86134,4.2,0.25,0.005,0.07
61611218,115.881468,-31.995893,29,0.93,0.005,0.07
61611228,115.735622,-31.635286,3,0.25,0.005,0.11
61611248,115.735685,-31.635286,4,0.25,0.005,0.26
NA,115.735685,-31.635277,4,0.25,0.005,0.092
NA,115.835988,-32.096627,2.8,0.25,0.005,0.01
61612104,115.685182,-31.5432,0.1,0.25,0.01,0.14
61612106,115.68698,-31.554633,0.1,0.75,0.21,0.24
61419623,115.835988,-32.096627,4.6,0.69,0.01,0.01
61419703,115.839664,-32.134387,18.6,1.02,0.005,0.28
61419706,115.877647,-32.161404,88,6.1,0.02,1.08
61419711,115.859411,-32.22021,19.9,4.18,0.12,0.1
61410704,115.904054,-32.087745,16.9,1.31,0.01,0.28
61410703,115.881613,-32.165823,18.9,1.31,0.005,0.19
61419856,115.846845,-32.214079,11,0.25,0.01,0.12
61419857,115.846844,-32.214106,4,0.25,0.85,0.01
61613202,115.946931,-31.735994,10.1,2.5,0.03,0.17
