WIN Site ID,Collect Year,TN
23028611,2009,1.5
23028611,2009,1.2
23028611,2009,0.62
23028611,2009,0.61
23028611,2009,0.95
12078916,2008,2.2
20083344,2000,0.26
20083201,1999,0.16
20083258,2001,0.39
20083201,2000,0.18
23000802,2002,0.35
20083345,2000,0.28
23000802,2002,0.46
20083259,2001,1.4
5451,2009,0.65
23028611,2008,3.8
23000796,2002,8.4
23023913,2007,3.6
20083344,1999,0.21
20083203,1999,3.5
23000796,2001,7
23000805,2002,8.6
23000809,2001,4
23000805,2002,7.7
23000796,2002,51
23023989,2007,10
20083203,1999,3.6
23002412,2005,13
20083201,1999,0.24
20083259,1999,0.41
20083345,1999,1.8
20083345,1999,1.3
20083203,2000,3.9
23028611,2008,7.8
5451,2008,2.3
5451,2008,5.3
23000796,2001,17
23023913,2007,4.3
20083258,2000,0.39
20083259,2000,0.41
20083259,1999,0.41
20083344,1999,0.31
23000797,2001,3.5
23023999,2008,1.6
23023913,2008,0.98
5451,2008,3.3
23000796,2001,5
23019664,2005,2.3
23023913,2008,1.1
23023913,2007,4.3
20083258,1999,0.46
20083344,1999,0.38
23000802,2001,2
23000797,2002,1.2
23000802,2001,3.4
5451,2009,2.9
23000809,2001,4.2
20083259,1999,0.48
20083344,2000,0.25
20083345,1999,0.92
23000802,2001,2
23000797,2002,1.1
23000809,2001,4.4
20083345,1999,1.6
20083259,1999,0.42
20083344,1999,0.26
23000802,2002,0.45
23000797,2002,2.7
13582505,2007,0.69
23023913,2012,1.2
20083258,1999,0.41
23000797,2002,1.5
23023999,2007,2
23028611,2008,17
23023999,2007,1.9
23000797,2001,7.1
23000797,2002,2.6
20083203,2000,2.3
20083258,2000,0.45
23000797,2001,1.5
23000809,2001,5.1
23000809,2001,5.5
23000797,2002,4.2
23000797,2002,1.1
23000797,2001,1.3
13582505,2007,0.93
23023913,2007,1.4
23000797,2002,3.5
23000793,2002,7.6
13582505,2007,1.1
23033947,2009,1.6
23023999,2007,2.2
20083203,1999,3.6
23000797,2001,2.5
23019669,2005,0.9
23000797,2002,1.3
13582505,2008,0.71
20083202,1999,0.7
23019665,2005,7.4
23023999,2008,1.9
23023999,2007,2.2
20083344,2000,0.3
23023913,2012,1.4
23000797,2002,2
13582505,2007,0.92
23023999,2007,2.8
23000810,2001,1
23000810,2002,1.3
20083345,2000,0.34
20083340,1999,1.1
23023913,2007,1.9
23028611,2009,0.93
12078916,2009,1.6
23033950,2009,0.61
20083201,2000,0.16
20083259,2000,0.48
20083345,2000,0.52
23000810,2002,1.2
23023999,2008,3
23000810,2002,1.2
23023989,2008,2
20083258,1999,0.49
23000810,2002,1.4
23023989,2008,2.9
23000810,2002,1.2
23000810,2001,1.8
23019666,2005,0.96
23000810,2001,2.2
13582505,2007,0.83
23023989,2007,2.8
23000803,2002,1.7
20083340,1999,1
23000810,2002,3.9
20083340,2000,2.1
20083202,1999,0.09
12078916,2009,1.1
20083345,2001,0.43
20083344,2001,0.31
20083201,1999,0.34
20083258,1999,0.41
23000803,2002,2.1
23000793,2002,2.9
23000793,2002,12
23023989,2007,2.1
23023999,2007,5.1
20083340,1999,1.3
23000810,2001,2.6
20083202,1999,1.2
20083203,1999,3.9
20083340,2001,1.7
23000796,2002,2.7
23023989,2007,2.2
20083339,1999,1.6
23000803,2002,1.9
23000803,2002,2.5
20083340,2000,1.3
20083339,2001,1.7
23028611,2008,3
12078916,2009,1.1
13582505,2007,1.4
5451,2008,22
20083201,2000,0.18
20083202,2000,0.56
20083201,1999,0.27
20083259,1999,0.43
23028613,2008,2
20083339,2000,1.7
20083340,1999,1.5
20083339,2000,1.5
20083340,2000,1.4
23028611,2008,19
20083339,1999,1.8
23000810,2001,3.2
20083339,1999,1.7
23000805,2002,5.2
23023989,2008,4.1
20083339,2000,1.7
23023989,2007,3
20083339,1999,1.6
23000803,2002,23
23028613,2008,2.2
23019667,2005,12
23033950,2009,11
23033950,2009,0.49
20083202,1999,0.29
20083202,2000,0.24
20083203,2000,3
23000803,2002,16
23019668,2005,0.39
23028613,2008,2.2
23000805,2002,12
23028613,2009,1.9
20083340,1999,0.85
23000796,2002,3.7
23000803,2002,21
23028613,2009,3
12078916,2008,2.9
5451,2009,6.4
20083202,1999,0.24
20083258,1999,0.4
20083203,1999,5.1
23000803,2002,12
23000796,2002,3.6
23028613,2008,4.7
23000796,2001,21
23028613,2009,2.2
23028613,2009,2.4
20083339,1999,1.8
23000796,2002,5
23023913,2007,2.8
23028611,2008,3.8
12078916,2008,4.2
20083201,2001,0.16
23000802,2001,0.93
20083201,1999,0.18
23000803,2002,12
23023989,2008,5.3
23028611,2008,5.4
20083259,2000,0.46
23000802,2001,1.8
20083258,2000,0.37
20083202,2001,0.29
20083202,2000,0.18
23000796,2001,6.7
23002412,2003,20
23002412,2003,10
23002411,2002,12
12078916,1996,0.646
2726,1996,0.201
23002410,2002,0.53
12078916,1995,0.251
12078916,1996,0.662
23030442,2008,0.19
12078916,1998,1.717
23002410,2005,0.52
23002410,2003,0.59
23002410,2002,0.59
23002410,2004,0.64
12078916,1997,0.547
12078916,1996,0.513
23002413,2002,0.37
23002410,2004,0.62
23002410,2002,0.66
23002413,2003,0.9
23002409,2005,1.2
2730,1995,0.501
23002410,2005,0.74
12078916,1995,0.871
12078916,1995,0.903
23002413,2004,0.49
23002413,2002,0.55
23002409,2003,1.4
12078916,1995,0.951
23002413,2005,0.6
20083203,2001,1.9
23002413,2002,0.58
23002410,2003,0.87
23002413,2003,1.5
23002408,2003,0.94
23002409,2004,1.5
23002408,2005,0.99
2726,1995,0.692
23002408,2004,1.1
23002408,2005,1.1
23002409,2004,1.5
2730,1996,0.78
23002408,2004,1.1
23002408,2002,1.1
23002409,2003,1.7
23002408,2002,1.1
23002408,2002,1.2
23002409,2002,1.7
23002411,2005,1.1
23002409,2002,1.7
23002409,2005,1.6
23002409,2002,1.8
23002408,2003,1.3
23002411,2003,1.3
23002413,2004,1.2
23002413,2005,1.1
23002411,2004,1.5
23002411,2004,1.4
23002412,2002,1.5
23002412,2002,7.8
23002411,2003,1.6
23002411,2005,1.5
23002411,2002,1.6
23002411,2002,1.8
23033950,2010,1.4
23002412,2004,25
23002412,2004,13
23002412,2005,9.8
11188904,1998,3.51
23002412,2002,23
11188904,1995,3.682
11188904,1995,5.265
11188904,1996,4.143
11188904,1997,4.995
11188904,1995,6.309
